"STAGE 7 — NETWORK CHARGE DRIVERS AND PROJECTION (D43: utilisation metric = system load factor, with revenue/volume driver split; D44: horizon 2030/31 + indicative 2035, published scenarios only, NOMINAL LOCAL currency as published (UK paths nominal/CPIH; DE study real-2023) with NO projected USD (D6 logic); D45: E1 network paths both archetypes + DE E2 AgNes band + UK E2 mechanical NCC + CN system-fee adjunct). PROJECTIONS ARE PUBLISHED-SOURCE PATHS, NOT THIS STUDY’S FORECASTS — every modelled element is an editable input, estimated=Y.",,,,,,,,,,,,,,,,,,,
"Chapter-6 framing note (falsifiability): stages 4+6 showed relieved-EII network charges have CONVERGED (UK $5.5 vs DE $7.9/MWh, 2025). This stage therefore projects the E1-level burden (what unrelieved users and the relief-funders face) and what current law implies for E2. A rising E1 path with stable E2 means a growing TRANSFER, not a growing EII cost — say so in the chapter.",,,,,,,,,,,,,,,,,,,


A. EDITABLE PROJECTION INPUTS (blue cells; every derived row is a formula off these),,,,,,,,,,,,,,,,,,,
UK chain factor T-Demand4 = IF-2027/28 / FYV-2027/28,ratio,estimated=Y (rescales FYV DD-basis to FD basis),0.836665469118908,,,,,,,,,,,,,,,,"NESO Initial Forecast 2027/28 (11.05.2026) T-D4 25,716.522168 vs FYV v3.0 (18.09.2025) T15 30,736.923080"
UK chain factor HV4 = IF-2027/28 / FYV-2027/28,ratio,estimated=Y,0.825833074200913,,,,,,,,,,,,,,,,"Same documents, HV4 654.727845 vs 792.808941"
DE 2027 federal subsidy (Regierungsentwurf 15.07.2026),EUR bn,"DRAFT, not law — scenario input",5.53,,,,,,,,,,,,,,,,"KTF/Bundeshaushalt 2027 cabinet draft via ZfK 07/2026 (relay of BMF): ""5,53 Milliarden Euro ... um 975 Millionen geringer als 2026"""
DE 2026 subsidy (law) / charge effect,EUR bn | ct/kWh,anchor,6.5,3.79,,,,,,,,,,,,,,,BGBl. 2025 I Nr. 317 (par.24c EnWG); joint UeNB PR 01.10.2025: 6.65 -> 2.86 ct/kWh (-3.79) with 6.5bn (S101)
UK NCC share held constant (current law),fraction,E2 mechanical scenario input,0.9,,,,,,,,,,,,,,,,SI 2026/243; no post-2026 change legislated

"B. UK — TCR residual charge paths (NOMINAL GBP/site/day; charging years, col D=2025/26 ... I=2030/31)",,,,,,,,,,,,,,,,,,,
(year labels),,,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,,,,,,,,,,,
T-Demand4 FINAL (published),GBP/site/day,Tier 1,12796.715359,20829.236682,,,,,,,,,,,,,,,NESO Final TNUoS 2025/26 T10 p.23; Final 2026/27 T10/TB
"T-Demand4 FYV v3.0 forecast (RIIO-ET3 DRAFT-determination basis, nominal)",GBP/site/day,as published,,25891.311791,30736.92308,30156.695776,33343.285385,36669.304392,,,,,,,,,,,"NESO Five-Year View of TNUoS Tariffs 2026/27-2030/31 v3.0 (18.09.2025), Table 15 p.32 — retr. 2026-07-16 (S107)"
T-Demand4 Initial Forecast 2027/28 (FD basis),GBP/site/day,Tier 1 forecast,,,25716.522168,,,,,,,,,,,,,,"NESO Initial Forecast of TNUoS Tariffs 2027/28 (11.05.2026), demand residual table — retr. 2026-07-16 (S108)"
T-Demand4 CENTRAL path (Final -> IF -> FYV x chain factor),GBP/site/day,estimated=Y from 2028/29,12796.715359,20829.236682,25716.522168,25231.0660185032,27897.1755086067,30679.9407613967,,,,,,,,,,,Method: FYV years 2028/29+ scaled by the observed FYV->latest ratio (D43 impl.); band high = unscaled FYV
HV4 FINAL (published),GBP/site/day,Tier 1,317.597969,528.912335,,,,,,,,,,,,,,,NESO Final TNUoS tables (as stage4_uk r27)
